timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
1910350,38207,-7.72085061700696,0,1.544170123401392,0,True
1910400,38208,-9.744261219807342,0,1.548852243961469,2,True
1910450,38209,-7.830836175442641,0,1.5661672350885276,0,True
1910500,38210,-7.7043881554271305,0,1.5408776310854262,0,True
1910550,38211,-8.725214700616133,0,1.5450429401232273,1,True
1910600,38212,-7.720918437203483,0,1.5441836874406971,0,True
1910650,38213,-7.859910596915313,0,1.5719821193830625,0,True
1910700,38214,-8.724742698535414,0,1.544948539707083,1,True
1910750,38215,-9.725890834601936,0,1.5451781669203877,2,True
1910800,38216,-7.748759842629441,0,1.549751968525888,0,True
1910850,38217,-11.728671592637976,0,1.5457343185275958,4,True
1910900,38218,-11.855492486695361,0,1.571098497339073,4,True
1910950,38219,-10.734518549801574,0,1.5469037099603147,3,True
1911000,38220,-7.740451901478821,0,1.548090380295764,0,True
1911050,38221,-7.826539170147473,0,1.565307834029495,0,True
1911100,38222,-7.719796755230571,0,1.5439593510461145,0,True
1911150,38223,-13.722429491500211,0,1.5444858983000416,6,True
1911200,38224,-8.722131206600931,0,1.544426241320187,1,True
1911250,38225,-7.721528085257662,0,1.544305617051533,0,True
1911300,38226,-9.702722098546731,0,1.5405444197093459,2,True
1911350,38227,-7.774266728489406,0,1.554853345697881,0,True
1911400,38228,-7.7434214954860785,0,1.5486842990972156,0,True
1911450,38229,-9.739062408199711,0,1.5478124816399421,2,True
1911500,38230,-8.696148695730297,0,1.5392297391460599,1,True
1911550,38231,-7.886879214581373,0,1.5773758429162745,0,True
1911600,38232,-8.720245225780898,0,1.5440490451561795,1,True
1911650,38233,-8.839800378000875,0,1.567960075600175,1,True
1911700,38234,-13.749243105619366,0,1.5498486211238724,6,True
1911750,38235,-7.73132497914652,0,1.546264995829304,0,True
1911800,38236,-12.72294109119179,0,1.544588218238359,5,True
1911850,38237,-7.694401066924817,0,1.5388802133849635,0,True
1911900,38238,-7.740906643706744,0,1.5481813287413488,0,True
1911950,38239,-7.699994416627163,0,1.5399988833254332,0,True
1912000,38240,-7.775132863046368,0,1.555026572609274,0,True
1912050,38241,-10.871327145763825,0,1.5742654291527645,3,True
1912100,38242,-10.702844288875779,0,1.5405688577751555,3,True
1912150,38243,-7.70870281502508,0,1.541740563005016,0,True
1912200,38244,-14.779519230008551,0,1.5559038460017103,7,True
1912250,38245,-7.709260074276151,0,1.5418520148552295,0,True
1912300,38246,-15.832250042533072,0,1.566450008506615,8,True
1912350,38247,-7.8348353765207515,0,1.5669670753041505,0,True
1912400,38248,-7.732499256410392,0,1.5464998512820782,0,True
1912450,38249,-13.78078832534209,0,1.5561576650684188,6,True
1912500,38250,-11.784303915083779,0,1.5568607830167551,4,True
1912550,38251,-7.768752006316301,0,1.5537504012632604,0,True
1912600,38252,-7.764133154094301,0,1.55282663081886,0,True
1912650,38253,-8.819411134975724,0,1.5638822269951438,1,True
1912700,38254,-8.7261371939355,0,1.5452274387870992,1,True
1912750,38255,-11.79233391903423,0,1.5584667838068456,4,True
1912800,38256,-7.721994358619101,0,1.5443988717238202,0,True
1912850,38257,-8.72539259788007,0,1.5450785195760142,1,True
1912900,38258,-9.73553304264656,0,1.5471066085293128,2,True
1912950,38259,-8.721563826342226,0,1.5443127652684447,1,True
1913000,38260,-8.86500359130266,0,1.5730007182605323,1,True
1913050,38261,-8.694332938401553,0,1.5388665876803105,1,True
1913100,38262,-9.749816953008947,0,1.5499633906017891,2,True
1913150,38263,-13.771748768561782,0,1.5543497537123567,6,True
1913200,38264,-7.746628699385511,0,1.5493257398771028,0,True
1913250,38265,-8.807756113900714,0,1.561551222780143,1,True
1913300,38266,-7.829468473444637,0,1.565893694688928,0,True
1913350,38267,-9.805420947687406,0,1.561084189537481,2,True
1913400,38268,-9.741645511734607,0,1.5483291023469203,2,True
1913450,38269,-8.72945253703862,0,1.5458905074077245,1,True
1913500,38270,-10.82367693330752,0,1.5647353866615044,3,True
1913550,38271,-8.720915862581743,0,1.5441831725163488,1,True
1913600,38272,-9.728173157354062,0,1.5456346314708127,2,True
1913650,38273,-7.720482471914939,0,1.544096494382988,0,True
1913700,38274,-10.809584847106517,0,1.5619169694213035,3,True
1913750,38275,-7.734932082768601,0,1.5469864165537206,0,True
1913800,38276,-7.696708926506217,0,1.5393417853012432,0,True
1913850,38277,-12.803547163332663,0,1.5607094326665327,5,True
1913900,38278,-8.775191482525724,0,1.5550382965051446,1,True
1913950,38279,-7.829381307277852,0,1.5658762614555701,0,True
1914000,38280,-7.738711453870682,0,1.5477422907741372,0,True
1914050,38281,-14.734203318828147,0,1.5468406637656298,7,True
1914100,38282,-8.72100484572228,0,1.5442009691444563,1,True
1914150,38283,-7.831482949710853,0,1.5662965899421706,0,True
1914200,38284,-10.699935373839441,0,1.5399870747678888,3,True
1914250,38285,-8.759107711211202,0,1.5518215422422406,1,True
1914300,38286,-8.727496860007363,0,1.5454993720014734,1,True
1914350,38287,-13.837411415423663,0,1.5674822830847321,6,True
1914400,38288,-8.812758134700209,0,1.5625516269400415,1,True
1914450,38289,-8.700103441957653,0,1.5400206883915306,1,True
1914500,38290,-7.779678510255225,0,1.5559357020510456,0,True
1914550,38291,-7.711411908239827,0,1.5422823816479652,0,True
1914600,38292,-14.827087594455865,0,1.5654175188911734,7,True
1914650,38293,-10.869510096737264,0,1.5739020193474529,3,True
1914700,38294,-7.828023578317904,0,1.5656047156635808,0,True
1914750,38295,-7.736870172541648,0,1.547374034508329,0,True
1914800,38296,-8.7219891395098,0,1.5443978279019592,1,True
1914850,38297,-8.84076921959986,0,1.568153843919972,1,True
1914900,38298,-12.828701642465916,0,1.5657403284931828,5,True
1914950,38299,-7.7224558412217625,0,1.5444911682443523,0,True
1915000,38300,-7.883028968342081,0,1.5766057936684164,0,True
1915050,38301,-7.75022467801462,0,1.5500449356029244,0,True
1915100,38302,-9.78002227935838,0,1.5560044558716757,2,True
1915150,38303,-8.758412442879397,0,1.5516824885758793,1,True
1915200,38304,-7.775258668236341,0,1.555051733647268,0,True
1915250,38305,-8.838775388032383,0,1.567755077606476,1,True
1915300,38306,-7.708431579827733,0,1.5416863159655465,0,True
1915350,38307,-10.745916671495523,0,1.5491833342991046,3,True
1915400,38308,-7.746461257101129,0,1.549292251420226,0,True
1915450,38309,-11.710027226373374,0,1.5420054452746752,4,True
1915500,38310,-12.712261443861847,0,1.542452288772369,5,True
1915550,38311,-10.704024578514371,0,1.5408049157028734,3,True
1915600,38312,-7.769551205325168,0,1.5539102410650338,0,True
1915650,38313,-7.720154137148969,0,1.5440308274297936,0,True
1915700,38314,-7.723979155969973,0,1.5447958311939942,0,True
1915750,38315,-9.701459914868177,0,1.540291982973636,2,True
1915800,38316,-12.777651153607524,0,1.555530230721506,5,True
1915850,38317,-9.738776558292319,0,1.547755311658464,2,True
1915900,38318,-9.798635660824417,0,1.5597271321648831,2,True
1915950,38319,-10.713967981824608,0,1.5427935963649213,3,True
1916000,38320,-7.820378733066349,0,1.5640757466132695,0,True
1916050,38321,-7.79255102568073,0,1.5585102051361466,0,True
1916100,38322,-7.743352038426172,0,1.5486704076852345,0,True
1916150,38323,-10.775695281431432,0,1.555139056286287,3,True
1916200,38324,-9.781984708687842,0,1.556396941737568,2,True
1916250,38325,-7.70852973393153,0,1.5417059467863061,0,True
1916300,38326,-7.6964443536272125,0,1.5392888707254422,0,True
1916350,38327,-7.720990762203632,0,1.5441981524407271,0,True
1916400,38328,-7.731637806805117,0,1.5463275613610232,0,True
1916450,38329,-7.759758879469244,0,1.5519517758938488,0,True
1916500,38330,-8.779400347180982,0,1.5558800694361965,1,True
1916550,38331,-7.772288359655407,0,1.5544576719310816,0,True
1916600,38332,-7.722226522327862,0,1.5444453044655722,0,True
1916650,38333,-7.8783410113132275,0,1.5756682022626456,0,True
1916700,38334,-9.88703298145491,0,1.5774065962909825,2,True
1916750,38335,-9.707026785759464,0,1.5414053571518922,2,True
1916800,38336,-7.7771561444738895,0,1.5554312288947778,0,True
1916850,38337,-7.697258318250483,0,1.5394516636500972,0,True
1916900,38338,-10.776396022214762,0,1.555279204442951,3,True
1916950,38339,-7.751630362786963,0,1.5503260725573929,0,True
1917000,38340,-7.773527634517954,0,1.5547055269035914,0,True
1917050,38341,-10.788887924197969,0,1.5577775848395943,3,True
1917100,38342,-7.725967075664509,0,1.5451934151329012,0,True
1917150,38343,-7.784235079374851,0,1.55684701587497,0,True
1917200,38344,-8.721941674648308,0,1.5443883349296614,1,True
1917250,38345,-7.7354631761657675,0,1.5470926352331529,0,True
1917300,38346,-14.783197239502528,0,1.5566394479005063,7,True
1917350,38347,-7.702846318843278,0,1.5405692637686557,0,True
1917400,38348,-10.70004162371149,0,1.5400083247422978,3,True
1917450,38349,-9.723236897385528,0,1.544647379477106,2,True
1917500,38350,-9.888675704509774,0,1.5777351409019542,2,True
1917550,38351,-8.733122301318629,0,1.5466244602637256,1,True
1917600,38352,-7.7841839435686815,0,1.5568367887137362,0,True
1917650,38353,-8.722363746579806,0,1.5444727493159602,1,True
1917700,38354,-7.845166722322389,0,1.569033344464478,0,True
1917750,38355,-7.855847771978713,0,1.5711695543957425,0,True
1917800,38356,-8.748218067096657,0,1.5496436134193308,1,True
1917850,38357,-8.74033138116061,0,1.5480662762321213,1,True
1917900,38358,-13.75382770610472,0,1.5507655412209447,6,True
1917950,38359,-7.742221185236981,0,1.5484442370473963,0,True
1918000,38360,-7.725185755970629,0,1.5450371511941254,0,True
1918050,38361,-7.69928124117537,0,1.5398562482350744,0,True
1918100,38362,-7.88569563955605,0,1.5771391279112101,0,True
1918150,38363,-8.731983447926325,0,1.5463966895852652,1,True
