episode,total_reward,total_intrusions,average_drift
46,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126]",138,0.6650718963453978
47,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799]",132,0.7402987740423296
48,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679]",302,0.471130416096188
49,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008]",210,0.8134092720303687
50,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606]",108,0.5503198495877896
51,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606 -20.73985227]",156,0.845741978614972
52,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606 -20.73985227 -16.77905152]",172,0.7643973383449708
53,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606 -20.73985227 -16.77905152 -37.04799614]",242,0.9899998466651155
54,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606 -20.73985227 -16.77905152 -37.04799614 -21.36181994]",242,0.6343712287481921
55,"[ -7.33366236 -21.26791403  -6.61054406  -6.11614856  -7.80489913
 -12.20534906  -3.80665459  -6.86226877 -13.88569574  -4.844028
 -23.98199876 -63.86430421 -35.66013507 -28.0469498  -20.41726916
 -34.2256901  -39.77872899 -33.88986698 -30.85906121 -17.88318782
 -22.94536441 -36.87752625 -22.15632042 -19.97092525 -32.65523578
 -43.14241985 -13.05275502 -29.4353517  -39.07010053 -22.73339906
 -39.05097957 -24.94455144 -19.1439572  -19.83374711 -22.99806332
 -15.70325812 -24.21338074 -30.90672866 -26.07313701 -27.02294507
 -42.50114377 -14.22713195 -29.88677804 -26.45329332 -14.36403781
 -26.38528845 -16.80957126 -13.85492799 -19.38728679 -27.17489008
 -12.49912606 -20.73985227 -16.77905152 -37.04799614 -21.36181994
 -37.69572572]",272,0.9599890726751297
