timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
247531,895,5,5,False
247831,896,4,4,True
248131,897,2,2,True
248431,898,4,4,True
248625,899,5,5,False
248925,900,2,2,True
249146,901,5,5,False
249391,902,5,5,False
249685,903,5,5,False
249876,904,5,5,False
250106,905,5,5,False
250370,906,5,5,False
250670,907,3,3,True
250970,908,4,4,True
251228,909,5,5,False
251528,910,3,3,True
251694,911,5,5,False
251936,912,5,5,False
252236,913,2,2,True
252400,914,5,5,False
252700,915,4,4,True
253000,916,4,4,True
253300,917,4,4,True
253516,918,5,5,False
253797,919,5,5,False
254071,920,5,5,False
254269,921,5,5,False
254569,922,3,3,True
254869,923,3,3,True
255137,924,5,5,False
255437,925,4,4,True
255737,926,3,3,True
256037,927,2,2,True
256337,928,2,2,True
256637,929,2,2,True
256824,930,5,5,False
256984,931,5,5,False
257284,932,4,4,True
257540,933,5,5,False
257840,934,5,5,False
258106,935,5,5,False
258357,936,5,5,False
258449,937,5,5,False
258612,938,5,5,False
258912,939,2,2,True
259126,940,5,5,False
259426,941,2,2,True
259726,942,3,3,True
260026,943,4,4,True
260326,944,3,3,True
260626,945,4,4,True
260735,946,5,5,False
261035,947,3,3,True
261298,948,5,5,False
261598,949,1,1,True
261898,950,1,1,True
262198,951,4,4,True
262498,952,3,3,True
262675,953,5,5,False
262975,954,4,4,True
263275,955,2,2,True
263575,956,3,3,True
263875,957,2,2,True
264175,958,4,4,True
264475,959,3,3,True
264672,960,5,5,False
264911,961,5,5,False
265211,962,2,2,True
265374,963,5,5,False
265626,964,5,5,False
265907,965,5,5,False
266207,966,4,4,True
266386,967,5,5,False
266686,968,1,1,True
266934,969,5,5,False
267224,970,5,5,False
267520,971,5,5,False
267820,972,4,4,True
268120,973,2,2,True
268305,974,5,5,False
268507,975,5,5,False
268664,976,5,5,False
268964,977,4,4,True
269104,978,5,5,False
269379,979,5,5,False
269654,980,5,5,False
269902,981,5,5,False
270202,982,1,1,True
270441,983,5,5,False
270719,984,5,5,False
270907,985,5,5,False
271182,986,5,5,False
271482,987,4,4,True
271739,988,5,5,False
272012,989,5,5,False
272312,990,2,2,True
272555,991,5,5,False
272772,992,5,5,False
273042,993,5,5,False
273237,994,5,5,False
273483,995,5,5,False
273620,996,5,5,False
273920,997,4,4,True
274142,998,5,5,False
274442,999,4,4,True
274667,1000,5,5,False
274873,1001,5,5,False
275100,1002,5,5,False
275400,1003,4,4,True
275539,1004,5,5,False
275839,1005,3,3,True
276139,1006,4,4,True
276298,1007,5,5,False
276589,1008,5,5,False
276671,1009,5,5,False
276971,1010,3,3,True
277271,1011,4,4,True
277571,1012,2,2,True
277871,1013,2,2,True
278171,1014,2,2,True
278471,1015,4,4,True
278761,1016,5,5,False
279061,1017,4,4,True
279361,1018,3,3,True
279573,1019,5,5,False
279771,1020,5,5,False
280071,1021,4,4,True
280371,1022,1,1,True
280548,1023,5,5,False
280848,1024,4,4,True
281147,1025,5,5,False
281375,1026,5,5,False
281675,1027,4,4,True
281908,1028,5,5,False
282208,1029,2,2,True
282454,1030,5,5,False
282750,1031,5,5,False
283050,1032,2,2,True
283246,1033,5,5,False
283521,1034,5,5,False
283821,1035,2,2,True
284020,1036,5,5,False
284320,1037,2,2,True
284620,1038,3,3,True
284920,1039,4,4,True
285214,1040,5,5,False
285373,1041,5,5,False
285542,1042,5,5,False
285825,1043,5,5,False
286125,1044,4,4,True
286425,1045,3,3,True
286725,1046,4,4,True
287018,1047,5,5,False
287211,1048,5,5,False
287511,1049,4,4,True
287811,1050,3,3,True
288111,1051,4,4,True
288392,1052,5,5,False
288692,1053,4,4,True
288803,1054,5,5,False
288941,1055,5,5,False
289155,1056,5,5,False
289294,1057,5,5,False
289438,1058,5,5,False
289738,1059,3,3,True
289974,1060,5,5,False
290274,1061,4,4,True
290550,1062,5,5,False
290710,1063,5,5,False
291010,1064,4,4,True
291223,1065,5,5,False
291479,1066,5,5,False
291654,1067,5,5,False
291835,1068,5,5,False
291946,1069,5,5,False
292246,1070,3,3,True
292417,1071,5,5,False
292717,1072,4,4,True
293017,1073,3,3,True
293317,1074,4,4,True
293617,1075,2,2,True
293850,1076,5,5,False
294102,1077,5,5,False
294295,1078,5,5,False
294588,1079,5,5,False
294709,1080,5,5,False
295009,1081,2,2,True
295309,1082,4,4,True
295534,1083,5,5,False
295834,1084,3,3,True
295907,1085,5,5,False
296096,1086,5,5,False
296396,1087,4,4,True
296696,1088,2,2,True
296869,1089,5,5,False
297169,1090,4,4,True
297310,1091,5,5,False
297610,1092,3,3,True
297873,1093,5,5,False
298059,1094,5,5,False
298359,1095,3,3,True
298561,1096,5,5,False
298861,1097,4,4,True
299052,1098,5,5,False
299352,1099,2,2,True
299587,1100,5,5,False
299795,1101,5,5,False
299992,1102,5,5,False
300287,1103,5,5,False
300469,1104,5,5,False
300769,1105,3,3,True
301069,1106,3,3,True
301369,1107,4,4,True
301669,1108,3,3,True
301969,1109,4,4,True
302127,1110,5,5,False
302427,1111,4,4,True
302715,1112,5,5,False
302857,1113,5,5,False
303157,1114,3,3,True
303279,1115,5,5,False
303579,1116,3,3,True
303807,1117,5,5,False
304071,1118,5,5,False
304242,1119,5,5,False
304528,1120,5,5,False
304735,1121,5,5,False
304904,1122,5,5,False
305204,1123,4,4,True
305494,1124,5,5,False
305682,1125,5,5,False
305915,1126,5,5,False
306215,1127,2,2,True
306363,1128,5,5,False
306554,1129,5,5,False
306800,1130,5,5,False
306985,1131,5,5,False
307285,1132,4,4,True
307585,1133,1,1,True
307729,1134,5,5,False
307834,1135,5,5,False
308011,1136,5,5,False
308178,1137,5,5,False
308347,1138,5,5,False
308624,1139,5,5,False
308879,1140,5,5,False
309175,1141,5,5,False
309475,1142,4,4,True
309750,1143,5,5,False
310050,1144,3,3,True
310350,1145,3,3,True
310650,1146,3,3,True
310777,1147,5,5,False
311077,1148,1,1,True
311377,1149,4,4,True
311677,1150,4,4,True
311975,1151,5,5,False
312275,1152,3,3,True
312504,1153,5,5,False
312804,1154,4,4,True
313058,1155,5,5,False
313356,1156,5,5,False
313548,1157,5,5,False
313755,1158,5,5,False
313917,1159,5,5,False
314205,1160,5,5,False
314505,1161,4,4,True
314805,1162,2,2,True
315105,1163,1,1,True
315380,1164,5,5,False
315588,1165,5,5,False
315888,1166,2,2,True
316188,1167,4,4,True
316488,1168,3,3,True
316788,1169,4,4,True
317088,1170,1,1,True
317388,1171,4,4,True
317688,1172,2,2,True
317893,1173,5,5,False
318155,1174,5,5,False
318415,1175,5,5,False
318658,1176,5,5,False
