episode,los_id,los_dist,los_qdr
103,"((2, 13), (3, 4), (3, 8), (4, 8), (6, 14), (11, 16))","(np.float64(0.07068061314755993), np.float64(0.06749729807373553), np.float64(0.10003027050251803), np.float64(0.08102337122535183), np.float64(0.08681034748781964), np.float64(0.1161981968173587))","(np.float64(104.83849877218319), np.float64(26.387572113591432), np.float64(-90.87029681251693), np.float64(-117.25786892610836), np.float64(133.6214740147284), np.float64(-82.13658294007801))"
104,"((1, 9), (3, 7), (8, 11), (13, 14), (9, 11))","(np.float64(0.08928171620820152), np.float64(0.1474888487791677), np.float64(0.13180986173730858), np.float64(0.06721622152768002), np.float64(0.1296746438637118))","(np.float64(-137.8740740416279), np.float64(-91.30355780189115), np.float64(321.81696866677794), np.float64(-8.041291433818124), np.float64(288.722436657359))"
105,"((3, 18), (5, 10), (8, 17))","(np.float64(0.14292937397075234), np.float64(0.12625318730422588), np.float64(0.12901074977120885))","(np.float64(57.056547958965446), np.float64(-58.98162745953502), np.float64(107.7010120908903))"
106,"((12, 16), (12, 17), (16, 17))","(np.float64(0.056351108689428074), np.float64(0.1477216682263077), np.float64(0.10943354062486324))","(np.float64(-61.141564964960864), np.float64(-130.39217869448652), np.float64(-69.25061372952567))"
107,"((3, 12), (6, 8), (6, 9), (8, 9))","(np.float64(0.09404606480109534), np.float64(0.06527068005223607), np.float64(0.06207958200029194), np.float64(0.0663809464242964))","(np.float64(-84.04333740453535), np.float64(-26.42037808134745), np.float64(-41.021425063752915), np.float64(-14.601046982405464))"
108,"((1, 5), (2, 19), (4, 7))","(np.float64(0.12146704513345158), np.float64(0.08227214184186299), np.float64(0.1235450147375382))","(np.float64(11.416810749457653), np.float64(40.40687935431984), np.float64(-53.051046802020466))"
109,"((0, 2), (0, 5), (2, 5), (7, 12), (7, 17), (14, 16))","(np.float64(0.099840201168291), np.float64(0.146126820560114), np.float64(0.12244197458085763), np.float64(0.10244353226753446), np.float64(0.1284042941196779), np.float64(0.029821975636829666))","(np.float64(-38.409889392751836), np.float64(-44.39709693420065), np.float64(-5.987207541448811), np.float64(-196.23903585732882), np.float64(-163.84060783225635), np.float64(-10.616178196469093))"
110,"((7, 16), (9, 14), (9, 19), (14, 19), (8, 12))","(np.float64(0.11530665561217676), np.float64(0.14102135701483456), np.float64(0.11523829024721399), np.float64(0.07614724335908425), np.float64(0.14795668071553142))","(np.float64(-68.10239966470272), np.float64(293.2306341944768), np.float64(101.0480033980188), np.float64(-192.182630796458), np.float64(-33.45937517176134))"
111,"((1, 4), (6, 15), (12, 19), (10, 18))","(np.float64(0.04828671191874943), np.float64(0.0544750768666298), np.float64(0.046435655557248115), np.float64(0.13593123503212404))","(np.float64(250.44941211205878), np.float64(-151.86684983014612), np.float64(-139.36525824467003), np.float64(-197.390575587728))"
112,"((3, 13), (4, 5), (4, 18))","(np.float64(0.08277409427040303), np.float64(0.031951646820551405), np.float64(0.1345903851677703))","(np.float64(232.72323764686033), np.float64(-30.428737488653496), np.float64(39.84730842837163))"
113,"((5, 17), (1, 15))","(np.float64(0.10772768717098792), np.float64(0.14229599914751132))","(np.float64(63.410947900416915), np.float64(81.24589634877805))"
114,"((10, 17),)","(np.float64(0.12065175558112236),)","(np.float64(-176.3508372383303),)"
115,"((0, 15), (6, 10), (7, 9), (10, 11), (15, 19), (0, 19), (3, 11))","(np.float64(0.14489275026943726), np.float64(0.1040972252016212), np.float64(0.10489782847815374), np.float64(0.09155198905119506), np.float64(0.05598355154053472), np.float64(0.13580262997038367), np.float64(0.133900824066454))","(np.float64(-20.25231736892526), np.float64(-23.256662348149916), np.float64(-49.283250618214936), np.float64(36.015504332292394), np.float64(34.310824065897776), np.float64(-278.6839093363014), np.float64(-248.87683435130438))"
116,"((0, 6), (5, 6))","(np.float64(0.14178094543991762), np.float64(0.05390329555821638))","(np.float64(-129.34392353770886), np.float64(-2.1021109176396635))"
117,"((11, 17),)","(np.float64(0.14718805172454694),)","(np.float64(129.99630697903086),)"
118,"((2, 19), (3, 13), (7, 9), (9, 17), (5, 7))","(np.float64(0.1353253657900707), np.float64(0.09750019891562754), np.float64(0.05105935074056304), np.float64(0.1463466616086863), np.float64(0.14771262407433405))","(np.float64(10.946601117656087), np.float64(281.3265699537279), np.float64(-36.12929142203379), np.float64(-220.17043185642288), np.float64(-0.08353914132391083))"
119,"((10, 15),)","(np.float64(0.08723071807000898),)","(np.float64(-71.48102166557685),)"
120,"((1, 7), (5, 18), (4, 16), (1, 5), (2, 13))","(np.float64(0.10713781703827945), np.float64(0.13579075390566153), np.float64(0.1381713946957332), np.float64(0.14981195669326372), np.float64(0.14847511026763147))","(np.float64(296.83036035901887), np.float64(-329.0287111856834), np.float64(-62.287224882661214), np.float64(226.12962234686006), np.float64(150.97310471630067))"
122,"((14, 18), (4, 6))","(np.float64(0.08238876753435308), np.float64(0.14394579826843448))","(np.float64(-91.88304142724796), np.float64(-84.2629503610973))"
123,"((3, 16), (5, 6), (9, 16), (4, 10))","(np.float64(0.10582629773677613), np.float64(0.0609674432263129), np.float64(0.08316195394040843), np.float64(0.1258836805007389))","(np.float64(123.14862519325754), np.float64(-7.697236591654246), np.float64(-66.59740538467884), np.float64(168.26993674389814))"
125,"((1, 3), (1, 4), (2, 10))","(np.float64(0.09126241704352947), np.float64(0.12086548431219027), np.float64(0.1393892827374196))","(np.float64(-70.03474871803806), np.float64(-115.02492406208194), np.float64(-124.89172382750579))"
126,"((4, 12), (9, 15), (13, 14))","(np.float64(0.1390796378879841), np.float64(0.11702902125118857), np.float64(0.046605112974311726))","(np.float64(225.53231928133687), np.float64(-178.5571871081899), np.float64(-149.0221462730625))"
128,"((2, 5),)","(np.float64(0.1125626261597),)","(np.float64(201.9969588451301),)"
129,"((1, 4), (5, 7), (5, 11), (7, 11), (8, 9), (13, 19))","(np.float64(0.09037007895024182), np.float64(0.10390885599507547), np.float64(0.1356923347759353), np.float64(0.09041727784753759), np.float64(0.06185975975455966), np.float64(0.11796647084389096))","(np.float64(-36.39620576891983), np.float64(-65.51526226227696), np.float64(107.27888238914939), np.float64(195.2690248861336), np.float64(-5.446835557216694), np.float64(-95.78071108849836))"
