episode,los_id,los_dist,los_qdr
3869,"((2, 12),)","(np.float64(0.14695190914200243),)","(np.float64(38.05029675649749),)"
3870,"((2, 6), (4, 9), (7, 12), (8, 11))","(np.float64(0.10064297589899467), np.float64(0.11701618362185734), np.float64(0.1229481990126029), np.float64(0.14719435000018427))","(np.float64(-78.48844057252899), np.float64(-12.789583791006379), np.float64(142.5889469349578), np.float64(124.89171798391962))"
3871,"((6, 10), (11, 15))","(np.float64(0.11859682115015144), np.float64(0.05143875080096664))","(np.float64(-38.53039249724827), np.float64(179.11406260107933))"
3873,"((4, 19), (8, 16), (2, 9))","(np.float64(0.08712682531673403), np.float64(0.03733158648121667), np.float64(0.14782980665484416))","(np.float64(-228.52176521207434), np.float64(-201.7361225865796), np.float64(-59.19687769904152))"
3874,"((7, 16), (14, 18))","(np.float64(0.09574296735484475), np.float64(0.14587300061381372))","(np.float64(194.0142985015368), np.float64(-108.8075360944917))"
3875,"((9, 16),)","(np.float64(0.1285671847540149),)","(np.float64(183.19123241732365),)"
3877,"((1, 14), (5, 8), (9, 11), (14, 19))","(np.float64(0.12648531606918953), np.float64(0.13760607819586024), np.float64(0.11767732197171216), np.float64(0.1041127740082306))","(np.float64(-158.48245568354497), np.float64(6.32353676760215), np.float64(-96.96941445931748), np.float64(-129.90045440708673))"
3878,"((11, 19),)","(np.float64(0.08204385173652348),)","(np.float64(-158.83328276310715),)"
3880,"((0, 11), (1, 12), (2, 15), (4, 16))","(np.float64(0.14204457658493083), np.float64(0.12366599027821175), np.float64(0.10093377200853063), np.float64(0.12245784865943223))","(np.float64(185.43085299649005), np.float64(187.99377054296662), np.float64(190.0254502454971), np.float64(214.78336949430633))"
3881,"((6, 15),)","(np.float64(0.14059288421457392),)","(np.float64(186.14415948865684),)"
3882,"((10, 12), (3, 16))","(np.float64(0.13285524982124897), np.float64(0.14317774632456995))","(np.float64(236.826864526802), np.float64(221.79523059340818))"
3885,"((1, 9), (5, 11), (5, 12))","(np.float64(0.04044944630256788), np.float64(0.14410896427697287), np.float64(0.09651553010024926))","(np.float64(161.55727429997515), np.float64(235.49773514087298), np.float64(262.0704024512633))"
3886,"((4, 12), (17, 18), (1, 17), (1, 16))","(np.float64(0.07745453641541178), np.float64(0.08100708342958497), np.float64(0.14177680268738876), np.float64(0.13988216082943158))","(np.float64(193.31276721875565), np.float64(-19.03909982553847), np.float64(129.4900717591819), np.float64(106.63787498803345))"
3887,"((0, 7), (6, 15))","(np.float64(0.14287344891709539), np.float64(0.14099616506368984))","(np.float64(-78.79467588733891), np.float64(148.66139282179574))"
3888,"((3, 4), (12, 19))","(np.float64(0.14782953443580316), np.float64(0.14059645447995053))","(np.float64(-19.380620016104956), np.float64(-146.8798479507919))"
3889,"((0, 19), (6, 11))","(np.float64(0.10965667232707996), np.float64(0.11691106213064549))","(np.float64(50.808070922895666), np.float64(212.37889323530953))"
3890,"((0, 16), (7, 8), (1, 16))","(np.float64(0.057265958980967355), np.float64(0.09416060697458091), np.float64(0.1315919862088519))","(np.float64(190.64093725798818), np.float64(303.497734312899), np.float64(270.3607307079925))"
3891,"((3, 9), (4, 6), (11, 12))","(np.float64(0.09906642073072258), np.float64(0.13904180193112176), np.float64(0.12444853726613943))","(np.float64(81.17277369982634), np.float64(-27.800856309472067), np.float64(-16.30785367945191))"
3892,"((6, 8), (17, 18), (12, 19))","(np.float64(0.14325156436291106), np.float64(0.14853610724662789), np.float64(0.13994371071793016))","(np.float64(30.846342543416768), np.float64(14.833004179332193), np.float64(-25.37820469206838))"
3893,"((0, 14), (1, 12))","(np.float64(0.14124035361035248), np.float64(0.1063166687482337))","(np.float64(164.45363711248604), np.float64(162.1756754229677))"
3894,"((0, 1), (6, 17), (7, 12), (14, 16))","(np.float64(0.11543881335382987), np.float64(0.11129781991026728), np.float64(0.1499560405638383), np.float64(0.09819531937975759))","(np.float64(-50.556013557532424), np.float64(-244.00626539536935), np.float64(224.04154495793648), np.float64(-23.08293819338016))"
3895,"((10, 13), (1, 6))","(np.float64(0.10493576939714686), np.float64(0.11652696344201062))","(np.float64(-77.54577158300759), np.float64(236.8682797431435))"
3897,"((4, 6), (8, 12), (11, 13), (0, 15))","(np.float64(0.11606749042690903), np.float64(0.11388454676583612), np.float64(0.0818672976633113), np.float64(0.13259493106872752))","(np.float64(-64.10304374738428), np.float64(-99.33071927088696), np.float64(-84.79717506753917), np.float64(240.9403642419975))"
3899,"((2, 3), (3, 14), (7, 10), (10, 19))","(np.float64(0.10219258215402705), np.float64(0.08304095120055541), np.float64(0.020748536876399975), np.float64(0.10075012336528752))","(np.float64(-11.89512851279062), np.float64(206.60759741299108), np.float64(281.8179369852708), np.float64(50.15292877383206))"
3900,"((3, 13), (10, 11), (15, 18), (8, 12))","(np.float64(0.13971450820351114), np.float64(0.14903195183764512), np.float64(0.1290669057711974), np.float64(0.1474351076531325))","(np.float64(168.3263625811271), np.float64(244.478506890083), np.float64(-105.99606749620273), np.float64(320.23034293717177))"
3901,"((0, 7), (0, 9))","(np.float64(0.09824640462513085), np.float64(0.11051413802100588))","(np.float64(226.57193488789738), np.float64(123.527795140318))"
3902,"((2, 19), (3, 16), (1, 17))","(np.float64(0.10694845816151619), np.float64(0.11401539043990665), np.float64(0.1476375319481643))","(np.float64(-237.58553500837178), np.float64(170.74857977315622), np.float64(75.40680723234772))"
3903,"((6, 19),)","(np.float64(0.1469650558708024),)","(np.float64(-201.49425536380926),)"
3904,"((1, 6), (1, 9), (4, 14), (6, 9), (10, 19), (14, 19), (16, 18), (8, 16), (10, 17))","(np.float64(0.07671062386978549), np.float64(0.059181195048143245), np.float64(0.11007170275824653), np.float64(0.09855070482206386), np.float64(0.14338069823659486), np.float64(0.13700027993438119), np.float64(0.14889643125878638), np.float64(0.09234197897667237), np.float64(0.11655118693261811))","(np.float64(-106.3389369592604), np.float64(-169.64375336874255), np.float64(221.97414495934413), np.float64(-63.30481640948216), np.float64(-166.48792301095003), np.float64(-160.45077612616743), np.float64(-132.62562934829194), np.float64(179.27405253308905), np.float64(242.2636656421207))"
3905,"((12, 18), (10, 13), (10, 17))","(np.float64(0.03288546976885539), np.float64(0.13569888370534763), np.float64(0.13845019919972562))","(np.float64(165.9717717070563), np.float64(206.36005950470593), np.float64(-197.14771526417803))"
