episode,los_id,los_dist,los_qdr
2353,"((11, 17), (15, 18))","(np.float64(0.14705900247952594), np.float64(0.1488633575511184))","(np.float64(353.3767461204666), np.float64(151.75720902378197))"
2354,"((10, 12),)","(np.float64(0.1393658705397685),)","(np.float64(2.1188716906108),)"
2355,"((3, 8), (7, 19), (17, 19), (3, 17), (1, 8))","(np.float64(0.12061360077536303), np.float64(0.13151983293194217), np.float64(0.08930192562627445), np.float64(0.1458864368407245), np.float64(0.13482139686790903))","(np.float64(75.95015596630063), np.float64(256.10101932056307), np.float64(3.8421417583869495), np.float64(130.71398223275108), np.float64(289.37006487034307))"
2356,"((3, 19), (2, 11))","(np.float64(0.07116882646972689), np.float64(0.1477413583962062))","(np.float64(158.34977784155018), np.float64(182.78523091050675))"
2357,"((1, 4), (9, 11), (16, 19), (0, 16), (10, 11))","(np.float64(0.07181765649546111), np.float64(0.061550747793072694), np.float64(0.12031185616609723), np.float64(0.13980026240152682), np.float64(0.1491405593655317))","(np.float64(292.2619632018363), np.float64(105.54882258367734), np.float64(178.13193328174668), np.float64(174.98792113487937), np.float64(152.47880030035324))"
2358,"((1, 18), (4, 10), (10, 18), (1, 10), (13, 14))","(np.float64(0.14588594981654815), np.float64(0.11898461477908874), np.float64(0.08468373851340577), np.float64(0.09297694154040469), np.float64(0.13930525609396743))","(np.float64(225.22043318458742), np.float64(352.75497031412164), np.float64(327.76046773796725), np.float64(244.4338292253947), np.float64(22.57166389003667))"
2359,"((3, 13), (16, 17))","(np.float64(0.13121783746409), np.float64(0.015870493129048036))","(np.float64(231.45861971602667), np.float64(284.4181720841468))"
2360,"((2, 16), (4, 14), (6, 15), (9, 18), (1, 19))","(np.float64(0.13046156525676567), np.float64(0.10624561433899526), np.float64(0.14712327230137623), np.float64(0.018827811031602137), np.float64(0.14113611672174195))","(np.float64(225.7284471651178), np.float64(1.572435450444736), np.float64(183.3937737865397), np.float64(181.82440200144467), np.float64(87.40380637519483))"
2361,"((0, 17), (1, 11), (5, 19), (15, 17), (8, 13), (9, 12), (4, 7), (7, 12))","(np.float64(0.08416759865777927), np.float64(0.04119501085296686), np.float64(0.12817853690798614), np.float64(0.1234582185788305), np.float64(0.14057637455797872), np.float64(0.1484187878192688), np.float64(0.12087728497324986), np.float64(0.13615798241859162))","(np.float64(353.54120473976343), np.float64(339.4954480898592), np.float64(131.2957783303129), np.float64(111.37542236972104), np.float64(152.05426804921242), np.float64(349.86402219341494), np.float64(11.224865211228522), np.float64(96.96304397639705))"
2362,"((4, 15), (7, 18), (11, 14))","(np.float64(0.13439545772373737), np.float64(0.13211836437465738), np.float64(0.09945498018432658))","(np.float64(119.62297418357983), np.float64(318.70768498525683), np.float64(69.37164882512324))"
2363,"((0, 12), (1, 4), (6, 15), (7, 8), (10, 17), (9, 10), (5, 9))","(np.float64(0.1021311761216958), np.float64(0.12212672198149577), np.float64(0.07074673122651276), np.float64(0.1315384166231225), np.float64(0.07827339441154318), np.float64(0.1445233436774045), np.float64(0.14949987709730125))","(np.float64(51.18837469323703), np.float64(224.61405983000893), np.float64(339.456154841197), np.float64(272.7549127578803), np.float64(253.2143127740773), np.float64(229.23711525657467), np.float64(308.070731828603))"
2364,"((2, 9), (18, 19), (3, 18), (3, 4), (4, 18))","(np.float64(0.07026390211190119), np.float64(0.09640241359858784), np.float64(0.14565965728935124), np.float64(0.14932458047580316), np.float64(0.13532366033192675))","(np.float64(153.70019587025806), np.float64(62.12483525237377), np.float64(81.70006562661851), np.float64(148.78350474323048), np.float64(352.32438842828964))"
2365,"((1, 4), (2, 18), (10, 17), (1, 3))","(np.float64(0.03057632457199227), np.float64(0.0520781533731122), np.float64(0.04718495072877101), np.float64(0.1085295917560136))","(np.float64(13.61105909660779), np.float64(349.29328276959484), np.float64(234.74213610773444), np.float64(213.37383047000512))"
2366,"((5, 10), (12, 18), (17, 19), (0, 9))","(np.float64(0.1119256992910866), np.float64(0.10506861113459078), np.float64(0.1321849473409709), np.float64(0.14976222450165566))","(np.float64(232.51903957854978), np.float64(101.92813764807154), np.float64(337.61468189430093), np.float64(124.66891859169723))"
2369,"((1, 5), (1, 14), (5, 14))","(np.float64(0.03784979098031101), np.float64(0.11556921863911605), np.float64(0.07224458207148976))","(np.float64(187.34407060107722), np.float64(263.6630097660764), np.float64(231.3398325622538))"
2371,"((2, 5), (5, 12))","(np.float64(0.14676547761308317), np.float64(0.11255448877694485))","(np.float64(337.6860660313016), np.float64(18.401086883992434))"
