episode,los_id,los_dist,los_qdr
169,"((0, 5), (8, 12), (5, 19), (13, 17))","(np.float64(0.11424145242651698), np.float64(0.08856517639796019), np.float64(0.13603286113910998), np.float64(0.14325077998550512))","(np.float64(133.70536580911948), np.float64(280.93250848827506), np.float64(181.3353596471164), np.float64(79.03906146168599))"
170,"((3, 13), (11, 12), (2, 13))","(np.float64(0.13243717666701002), np.float64(0.03766306117400346), np.float64(0.1474184572690399))","(np.float64(132.69676931455047), np.float64(28.60180064884373), np.float64(75.4572901731835))"
171,"((5, 8), (3, 17), (9, 17))","(np.float64(0.14340176690066006), np.float64(0.1371738089277778), np.float64(0.09993834908868869))","(np.float64(48.323417152346465), np.float64(62.2757451334489), np.float64(330.39814152627423))"
172,"((0, 12),)","(np.float64(0.10236527752609656),)","(np.float64(211.6046394044296),)"
173,"((0, 7),)","(np.float64(0.09672417675653233),)","(np.float64(38.21077054483508),)"
174,"((8, 13),)","(np.float64(0.11616295984428339),)","(np.float64(158.5531323475959),)"
175,"((8, 18),)","(np.float64(0.08961147723400235),)","(np.float64(109.57320283104002),)"
176,"((2, 19), (12, 14))","(np.float64(0.13740750615169292), np.float64(0.1252292861936615))","(np.float64(57.268846996251185), np.float64(123.53719907417353))"
177,"((2, 11), (0, 14))","(np.float64(0.08891883448746601), np.float64(0.1458721133631119))","(np.float64(242.34908141291663), np.float64(255.13821619773935))"
178,"((1, 17), (1, 11))","(np.float64(0.05199635384884392), np.float64(0.13566072304889415))","(np.float64(112.79526647413664), np.float64(348.1936547160881))"
179,"((8, 9), (1, 10), (3, 10))","(np.float64(0.11223208541990422), np.float64(0.1321043356443444), np.float64(0.114766197436886))","(np.float64(188.76733378245058), np.float64(127.39178532584037), np.float64(284.82337272550006))"
181,"((10, 17), (11, 16), (7, 16))","(np.float64(0.13885338967860647), np.float64(0.14718775682927845), np.float64(0.1367982940619312))","(np.float64(272.86639586301555), np.float64(102.55268352559578), np.float64(190.44093997209714))"
182,"((6, 12), (8, 9), (10, 18), (3, 8), (3, 9))","(np.float64(0.0991583719358164), np.float64(0.13729034309837737), np.float64(0.10546655051963912), np.float64(0.11035690664675567), np.float64(0.11401260883639418))","(np.float64(41.14944092736884), np.float64(230.07051075135794), np.float64(92.75376076394684), np.float64(204.12597736756723), np.float64(282.125151964442))"
183,"((9, 19), (3, 19), (4, 10), (4, 19))","(np.float64(0.12885709916103083), np.float64(0.13232970109575354), np.float64(0.1480758313350695), np.float64(0.14688490251983322))","(np.float64(36.25640330247682), np.float64(295.90203642452127), np.float64(167.63531036852223), np.float64(287.30431135011736))"
184,"((2, 3), (12, 19))","(np.float64(0.040946456801303266), np.float64(0.11768618255702885))","(np.float64(315.28334523378004), np.float64(205.94051421871347))"
185,"((13, 19), (14, 18))","(np.float64(0.13637316915161538), np.float64(0.12843642971796868))","(np.float64(218.81004337232318), np.float64(220.16420280776433))"
186,"((1, 7), (2, 17), (3, 8), (10, 17))","(np.float64(0.0664810711345505), np.float64(0.1137800884923588), np.float64(0.1405735499025502), np.float64(0.14073161418035257))","(np.float64(283.92549588597115), np.float64(329.4411177017588), np.float64(204.38331162456), np.float64(148.20415340993864))"
