episode,los_id,los_dist,los_qdr
3961,"((9, 10), (7, 16))","(np.float64(0.0911282708337271), np.float64(0.07441887585625413))","(np.float64(48.41016277295821), np.float64(24.821541213226382))"
3962,"((0, 4),)","(np.float64(0.045057959138206025),)","(np.float64(84.18817548253668),)"
3963,"((0, 5), (3, 19))","(np.float64(0.05505704831394338), np.float64(0.0615544849175708))","(np.float64(89.87882439676963), np.float64(338.99105707284093))"
3964,"((3, 7),)","(np.float64(0.11543322725992136),)","(np.float64(227.41785079708035),)"
3965,"((3, 12), (6, 11), (0, 11), (10, 18), (2, 12))","(np.float64(0.08734752883507865), np.float64(0.12710641995112762), np.float64(0.14251931289881853), np.float64(0.1194033052352095), np.float64(0.13285347908061987))","(np.float64(25.332690777680803), np.float64(354.9298995872711), np.float64(272.82529507550663), np.float64(13.088389239158207), np.float64(249.62139324809374))"
3966,"((5, 7), (8, 11), (2, 11))","(np.float64(0.10882994011286824), np.float64(0.09616357715470393), np.float64(0.10735368784656826))","(np.float64(260.9300466123332), np.float64(230.78032824996217), np.float64(0.9170679524072514))"
3967,"((2, 8), (5, 11))","(np.float64(0.1119253670366514), np.float64(0.0719537285588905))","(np.float64(355.13035300721157), np.float64(354.25652665607873))"
3968,"((3, 5), (9, 14), (5, 12))","(np.float64(0.1420655974322304), np.float64(0.09160979295088946), np.float64(0.12644412824597834))","(np.float64(87.05786899203402), np.float64(305.2776869273453), np.float64(211.13803417727163))"
3969,"((3, 10), (2, 16))","(np.float64(0.11160013603543616), np.float64(0.13389105788379757))","(np.float64(2.3275088759901403), np.float64(20.552969740251154))"
3970,"((2, 15),)","(np.float64(0.1272359480406612),)","(np.float64(208.7858661703666),)"
3971,"((11, 18),)","(np.float64(0.11951190686204631),)","(np.float64(238.11576934648792),)"
3972,"((4, 13),)","(np.float64(0.14258821959458973),)","(np.float64(42.74361384537328),)"
3973,"((2, 5), (5, 11))","(np.float64(0.05945955563549283), np.float64(0.1436189812054782))","(np.float64(50.12394741366195), np.float64(254.4331401212254))"
3974,"((1, 5), (14, 19))","(np.float64(0.1439032950175299), np.float64(0.14834618836944535))","(np.float64(113.39626395224992), np.float64(149.6187504657084))"
3975,"((2, 18), (6, 19), (7, 8), (0, 17))","(np.float64(0.12505078789026622), np.float64(0.14960574536469146), np.float64(0.08609372460640163), np.float64(0.14188505682482447))","(np.float64(121.46290304740648), np.float64(62.61378375674504), np.float64(268.19892691933103), np.float64(164.58177413015275))"
3976,"((4, 9), (8, 19))","(np.float64(0.08233070192041894), np.float64(0.10190892276336791))","(np.float64(36.96957343021451), np.float64(195.90003101447567))"
3977,"((5, 18), (3, 12))","(np.float64(0.14808041591601276), np.float64(0.1453678554618759))","(np.float64(294.07428346475467), np.float64(229.43291372934394))"
3978,"((10, 19), (3, 16), (4, 14))","(np.float64(0.14730612399566562), np.float64(0.14724492367172423), np.float64(0.14513042738335444))","(np.float64(15.017419400728407), np.float64(33.037184908264784), np.float64(262.77660614513536))"
3982,"((0, 8), (0, 10), (2, 5), (3, 17), (6, 18))","(np.float64(0.13922784346454878), np.float64(0.09046303367950008), np.float64(0.10088699031140849), np.float64(0.14334938901307073), np.float64(0.07015013676315461))","(np.float64(300.8470200717731), np.float64(189.13143232778182), np.float64(170.682613754596), np.float64(336.3573873367891), np.float64(89.13035501733287))"
3983,"((0, 18), (1, 10), (1, 13), (3, 10), (6, 18), (1, 18))","(np.float64(0.13545228982488097), np.float64(0.13415184001196198), np.float64(0.056592001160438936), np.float64(0.14843327272026752), np.float64(0.09421510114296366), np.float64(0.14121537858779892))","(np.float64(176.77690076020284), np.float64(5.884713643076694), np.float64(320.7603923066654), np.float64(141.1331379571405), np.float64(126.1620239961347), np.float64(303.70750637863057))"
3985,"((8, 14), (1, 17))","(np.float64(0.10715515499015703), np.float64(0.13971022284851914))","(np.float64(69.47661617720105), np.float64(68.05810462766))"
3986,"((1, 2), (9, 19), (14, 19))","(np.float64(0.06891378069158967), np.float64(0.1011565942292125), np.float64(0.14229454700305114))","(np.float64(252.54494406268685), np.float64(264.54228265810116), np.float64(195.95731697732688))"
