timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
1523294,30467,-7.707312449563955,0,1.541462489912791,0,True
1523344,30468,-7.736533557635212,0,1.5473067115270422,0,True
1523394,30469,-7.8304739936350645,0,1.5660947987270128,0,True
1523444,30470,-10.713871910233864,0,1.5427743820467725,3,True
1523494,30471,-12.837501242619625,0,1.5675002485239253,5,True
1523544,30472,-8.81360236948053,0,1.5627204738961062,1,True
1523594,30473,-7.832268980094181,0,1.5664537960188363,0,True
1523644,30474,-8.87159710255152,0,1.5743194205103035,1,True
1523694,30475,-7.819508995149073,0,1.5639017990298143,0,True
1523744,30476,-11.806280678163343,0,1.5612561356326697,4,True
1523794,30477,-8.723515196781062,0,1.5447030393562122,1,True
1523844,30478,-7.728673816492902,0,1.54573476329858,0,True
1523894,30479,-8.696919739687875,0,1.5393839479375755,1,True
1523944,30480,-12.796873223904942,0,1.5593746447809886,5,True
1523994,30481,-10.74557159810641,0,1.5491143196212829,3,True
1524044,30482,-7.731239033681694,0,1.5462478067363385,0,True
1524094,30483,-11.718941631345773,0,1.5437883262691547,4,True
1524144,30484,-10.730687217212598,0,1.5461374434425192,3,True
1524194,30485,-7.762062354943719,0,1.5524124709887437,0,True
1524244,30486,-7.728232479740648,0,1.5456464959481295,0,True
1524294,30487,-7.863288591415664,0,1.572657718283133,0,True
1524344,30488,-9.7221148439872,0,1.54442296879744,2,True
1524394,30489,-8.750381294528278,0,1.5500762589056551,1,True
1524444,30490,-9.87155069488154,0,1.5743101389763083,2,True
1524494,30491,-7.7221752957286185,0,1.5444350591457232,0,True
1524544,30492,-7.720798708039131,0,1.5441597416078254,0,True
1524594,30493,-7.886490290014295,0,1.5772980580028595,0,True
1524644,30494,-14.780553275057356,0,1.5561106550114707,7,True
1524694,30495,-7.694214863771478,0,1.5388429727542956,0,True
1524744,30496,-7.7273210345968755,0,1.5454642069193747,0,True
1524794,30497,-8.7216192064832,0,1.5443238412966402,1,True
1524844,30498,-8.730917421479633,0,1.5461834842959266,1,True
1524894,30499,-13.839623226092415,0,1.5679246452184825,6,True
1524944,30500,-9.723257815653666,0,1.544651563130732,2,True
1524994,30501,-7.754367825016249,0,1.5508735650032497,0,True
1525044,30502,-7.697428422859023,0,1.5394856845718048,0,True
1525094,30503,-7.7269159957731155,0,1.5453831991546223,0,True
1525144,30504,-9.745081533211119,0,1.5490163066422233,2,True
1525194,30505,-10.748981234172184,0,1.549796246834436,3,True
1525244,30506,-13.77423051272171,0,1.554846102544342,6,True
1525294,30507,-7.7287449262678365,0,1.5457489852535675,0,True
1525344,30508,-9.836331117551033,0,1.5672662235102064,2,True
1525394,30509,-7.728565314107125,0,1.5457130628214246,0,True
1525444,30510,-11.722685809719872,0,1.544537161943974,4,True
1525494,30511,-10.704062480685522,0,1.5408124961371046,3,True
1525544,30512,-8.770542398203636,0,1.5541084796407276,1,True
1525594,30513,-12.773642934488146,0,1.5547285868976295,5,True
1525644,30514,-8.727837037980477,0,1.545567407596095,1,True
1525694,30515,-7.870199349237952,0,1.57403986984759,0,True
1525744,30516,-7.830962121860268,0,1.566192424372054,0,True
1525794,30517,-7.730410574236943,0,1.5460821148473882,0,True
1525844,30518,-7.708496501685961,0,1.5416993003371917,0,True
1525894,30519,-7.6953323515871634,0,1.5390664703174328,0,True
1525944,30520,-7.753799089649341,0,1.5507598179298683,0,True
1525994,30521,-7.728423223817609,0,1.545684644763522,0,True
1526044,30522,-7.778801488996069,0,1.5557602977992138,0,True
1526094,30523,-8.886095514892043,0,1.577219102978409,1,True
1526144,30524,-7.724955228467732,0,1.5449910456935467,0,True
1526194,30525,-7.7207022889122205,0,1.5441404577824442,0,True
1526244,30526,-7.868204476639956,0,1.5736408953279915,0,True
1526294,30527,-7.722488711250124,0,1.544497742250025,0,True
1526344,30528,-11.861448160578542,0,1.5722896321157092,4,True
1526394,30529,-9.724099166930722,0,1.544819833386145,2,True
1526444,30530,-7.827652604004084,0,1.565530520800817,0,True
1526494,30531,-8.726129218490597,0,1.5452258436981197,1,True
1526544,30532,-7.7838928272183185,0,1.556778565443664,0,True
1526594,30533,-7.7571514653953715,0,1.5514302930790742,0,True
1526644,30534,-14.829181892596289,0,1.5658363785192575,7,True
1526694,30535,-12.774701678072047,0,1.5549403356144091,5,True
1526744,30536,-10.878600631299621,0,1.5757201262599236,3,True
1526794,30537,-12.737122408655535,0,1.5474244817311062,5,True
1526844,30538,-7.887590808375698,0,1.5775181616751397,0,True
1526894,30539,-7.696108703932689,0,1.5392217407865387,0,True
1526944,30540,-7.737971362389174,0,1.5475942724778344,0,True
1526994,30541,-11.700086172083706,0,1.5400172344167422,4,True
1527044,30542,-8.772839078782436,0,1.5545678157564873,1,True
1527094,30543,-7.727457555694905,0,1.5454915111389806,0,True
1527144,30544,-7.789742603425906,0,1.5579485206851806,0,True
1527194,30545,-8.732984705103327,0,1.5465969410206655,1,True
1527244,30546,-13.773427659497314,0,1.554685531899463,6,True
1527294,30547,-7.791806126726237,0,1.5583612253452477,0,True
1527344,30548,-7.8293867890915605,0,1.5658773578183125,0,True
1527394,30549,-9.796243364625195,0,1.559248672925038,2,True
1527444,30550,-15.790576244590339,0,1.5581152489180676,8,True
1527494,30551,-8.70076102709517,0,1.5401522054190335,1,True
1527544,30552,-8.726779743477026,0,1.5453559486954054,1,True
1527594,30553,-7.722030319846615,0,1.544406063969323,0,True
1527644,30554,-7.7290240232776535,0,1.5458048046555306,0,True
1527694,30555,-9.772260077427326,0,1.5544520154854646,2,True
1527744,30556,-7.731213151513177,0,1.5462426303026349,0,True
1527794,30557,-7.777580988208145,0,1.555516197641629,0,True
1527844,30558,-7.720760027535891,0,1.5441520055071782,0,True
1527894,30559,-9.818889665221684,0,1.5637779330443358,2,True
1527944,30560,-11.77980206471276,0,1.555960412942552,4,True
1527994,30561,-7.774348838619407,0,1.5548697677238812,0,True
1528044,30562,-8.729829467211886,0,1.5459658934423768,1,True
1528094,30563,-7.764241713432515,0,1.552848342686503,0,True
1528144,30564,-12.834180798700856,0,1.566836159740171,5,True
1528194,30565,-7.798465045223462,0,1.559693009044693,0,True
1528244,30566,-12.775169651415341,0,1.5550339302830682,5,True
1528294,30567,-7.699231256823884,0,1.5398462513647773,0,True
1528344,30568,-11.703952834484856,0,1.5407905668969706,4,True
1528394,30569,-11.763065596904289,0,1.5526131193808572,4,True
1528444,30570,-8.779837958208867,0,1.5559675916417737,1,True
1528494,30571,-11.768228883536404,0,1.5536457767072807,4,True
1528544,30572,-7.72040352774784,0,1.5440807055495682,0,True
1528594,30573,-9.741483823622557,0,1.5482967647245118,2,True
1528644,30574,-7.726052287442942,0,1.5452104574885883,0,True
1528694,30575,-9.722263029955943,0,1.5444526059911885,2,True
1528744,30576,-8.829453451633757,0,1.5658906903267513,1,True
1528794,30577,-9.747787506203377,0,1.5495575012406753,2,True
1528844,30578,-10.721055861360199,0,1.5442111722720393,3,True
1528894,30579,-12.72744468084859,0,1.545488936169717,5,True
1528944,30580,-7.773842462948477,0,1.5547684925896958,0,True
1528994,30581,-7.828906199817459,0,1.5657812399634923,0,True
1529044,30582,-9.819491476093848,0,1.5638982952187697,2,True
1529094,30583,-7.827680909303705,0,1.5655361818607405,0,True
1529144,30584,-9.770072041141997,0,1.554014408228399,2,True
1529194,30585,-9.724765508483932,0,1.5449531016967868,2,True
1529244,30586,-8.700364962923155,0,1.5400729925846304,1,True
1529294,30587,-7.7977679395870565,0,1.5595535879174116,0,True
1529344,30588,-10.713875486237136,0,1.5427750972474277,3,True
1529394,30589,-9.76222275564062,0,1.5524445511281244,2,True
1529444,30590,-7.845126689032734,0,1.5690253378065466,0,True
1529494,30591,-7.777545065968744,0,1.5555090131937488,0,True
1529544,30592,-9.71293288778099,0,1.542586577556198,2,True
1529594,30593,-7.774071794667788,0,1.554814358933558,0,True
1529644,30594,-7.794125601180013,0,1.5588251202360024,0,True
1529694,30595,-11.694479277774665,0,1.5388958555549328,4,True
1529744,30596,-10.790089942044881,0,1.558017988408977,3,True
1529794,30597,-9.805734493220776,0,1.5611468986441557,2,True
1529844,30598,-8.723652894064916,0,1.5447305788129837,1,True
1529894,30599,-8.769100439618812,0,1.5538200879237627,1,True
1529944,30600,-8.722165395921726,0,1.5444330791843448,1,True
1529994,30601,-12.769549471056862,0,1.5539098942113725,5,True
1530044,30602,-7.727518893305548,0,1.5455037786611099,0,True
1530094,30603,-7.736133731936689,0,1.5472267463873373,0,True
1530144,30604,-9.7832899128158,0,1.55665798256316,2,True
1530194,30605,-7.709861314515774,0,1.541972262903155,0,True
1530244,30606,-9.72972953625857,0,1.5459459072517134,2,True
1530294,30607,-8.72290289809606,0,1.5445805796192114,1,True
1530344,30608,-7.7238098537537105,0,1.5447619707507416,0,True
1530394,30609,-7.826334876164713,0,1.5652669752329427,0,True
1530444,30610,-9.748214572731744,0,1.5496429145463497,2,True
1530494,30611,-9.836642823525546,0,1.5673285647051076,2,True
1530544,30612,-7.716371407388875,0,1.5432742814777753,0,True
1530594,30613,-7.694357358651054,0,1.5388714717302108,0,True
1530644,30614,-9.861290766433969,0,1.5722581532867943,2,True
1530694,30615,-9.774306409552056,0,1.5548612819104108,2,True
1530744,30616,-9.722794593711399,0,1.5445589187422804,2,True
1530794,30617,-9.702155029836346,0,1.5404310059672688,2,True
1530844,30618,-7.722606302441762,0,1.544521260488353,0,True
1530894,30619,-7.781027458043612,0,1.5562054916087222,0,True
1530944,30620,-7.829611609589789,0,1.5659223219179574,0,True
1530994,30621,-7.780314978111059,0,1.556062995622212,0,True
1531044,30622,-11.779339202953055,0,1.5558678405906117,4,True
1531094,30623,-7.76195393653899,0,1.5523907873077984,0,True
1531144,30624,-7.720740790581759,0,1.5441481581163519,0,True
1531194,30625,-13.77705353180647,0,1.5554107063612934,6,True
1531244,30626,-9.737839722942288,0,1.5475679445884578,2,True
1531294,30627,-8.724193387235633,0,1.5448386774471263,1,True
1531344,30628,-8.73386835365514,0,1.5467736707310273,1,True
1531394,30629,-7.72639600823044,0,1.545279201646088,0,True
1531444,30630,-7.706699150788084,0,1.541339830157617,0,True
1531494,30631,-9.714638920318126,0,1.5429277840636262,2,True
1531544,30632,-7.773518317901131,0,1.554703663580227,0,True
1531594,30633,-7.720592860130557,0,1.5441185720261115,0,True
1531644,30634,-8.70571134205046,0,1.5411422684100924,1,True
1531694,30635,-8.720743930580998,0,1.5441487861161998,1,True
1531744,30636,-8.699483231991735,0,1.5398966463983468,1,True
1531794,30637,-7.696594916837722,0,1.5393189833675442,0,True
1531844,30638,-8.72770066622371,0,1.5455401332447416,1,True
1531894,30639,-8.780814701277153,0,1.55616294025543,1,True
1531944,30640,-11.773666586140644,0,1.554733317228129,4,True
1531994,30641,-12.791239922372348,0,1.5582479844744699,5,True
1532044,30642,-11.732225083762577,0,1.5464450167525166,4,True
1532094,30643,-8.782636915660994,0,1.5565273831321982,1,True
1532144,30644,-8.752005645574455,0,1.5504011291148907,1,True
1532194,30645,-14.889322531107522,0,1.577864506221504,7,True
1532244,30646,-10.715643696004093,0,1.5431287392008182,3,True
1532294,30647,-7.792463462645739,0,1.5584926925291478,0,True
1532344,30648,-7.697008480767483,0,1.539401696153497,0,True
1532394,30649,-8.714747839376138,0,1.5429495678752267,1,True
1532444,30650,-7.81292445930978,0,1.5625848918619556,0,True
1532494,30651,-7.764088805998463,0,1.5528177611996927,0,True
1532544,30652,-7.7145319074596745,0,1.5429063814919346,0,True
1532594,30653,-7.776193194110885,0,1.555238638822177,0,True
1532644,30654,-7.738109191206082,0,1.5476218382412166,0,True
1532694,30655,-9.711411394674219,0,1.5422822789348427,2,True
1532744,30656,-8.710201525632058,0,1.5420403051264118,1,True
1532794,30657,-7.716081701931851,0,1.5432163403863695,0,True
1532844,30658,-9.714501103340435,0,1.5429002206680864,2,True
1532894,30659,-7.855193280409402,0,1.57103865608188,0,True
1532944,30660,-9.771956170017663,0,1.5543912340035329,2,True
1532994,30661,-8.852398824622446,0,1.570479764924489,1,True
1533044,30662,-8.729401887805645,0,1.5458803775611292,1,True
1533094,30663,-7.737824756004857,0,1.547564951200971,0,True
1533144,30664,-7.70821861495942,0,1.5416437229918845,0,True
1533194,30665,-9.73179577741883,0,1.5463591554837655,2,True
1533244,30666,-7.757699731378675,0,1.5515399462757347,0,True
1533294,30667,-7.826442432943559,0,1.5652884865887118,0,True
1533344,30668,-7.702581505889354,0,1.5405163011778702,0,True
1533394,30669,-7.730430317956232,0,1.5460860635912461,0,True
1533444,30670,-13.758123844302979,0,1.5516247688605964,6,True
1533494,30671,-7.703027403037958,0,1.5406054806075915,0,True
1533544,30672,-7.774765092780581,0,1.5549530185561167,0,True
1533594,30673,-7.756145134661432,0,1.5512290269322864,0,True
1533644,30674,-9.707018983856068,0,1.5414037967712135,2,True
1533694,30675,-7.750994252095642,0,1.5501988504191277,0,True
1533744,30676,-8.775321225012476,0,1.555064245002495,1,True
1533794,30677,-9.811481118276983,0,1.5622962236553959,2,True
1533844,30678,-7.723782728981107,0,1.5447565457962216,0,True
1533894,30679,-7.830700285333467,0,1.5661400570666928,0,True
1533944,30680,-11.73089122419283,0,1.546178244838566,4,True
1533994,30681,-8.774688835602564,0,1.5549377671205125,1,True
1534044,30682,-9.735396919070043,0,1.5470793838140082,2,True
1534094,30683,-7.780787071546861,0,1.556157414309372,0,True
1534144,30684,-8.699492696317204,0,1.5398985392634412,1,True
1534194,30685,-7.77079885687183,0,1.5541597713743667,0,True
1534244,30686,-7.722795684346545,0,1.544559136869309,0,True
1534294,30687,-7.7175735846823175,0,1.543514716936464,0,True
1534344,30688,-8.737097277627175,0,1.5474194555254348,1,True
1534394,30689,-7.8375524788949,0,1.5675104957789796,0,True
1534444,30690,-7.716363287918643,0,1.5432726575837292,0,True
1534494,30691,-8.714494642761224,0,1.5428989285522443,1,True
1534544,30692,-9.724102944106766,0,1.544820588821353,2,True
1534594,30693,-7.789557271889639,0,1.557911454377928,0,True
1534644,30694,-7.720651933797522,0,1.544130386759505,0,True
1534694,30695,-7.802783294634748,0,1.56055665892695,0,True
1534744,30696,-7.698194830878996,0,1.539638966175799,0,True
1534794,30697,-7.8269852061320035,0,1.5653970412264004,0,True
1534844,30698,-7.75653025439782,0,1.5513060508795642,0,True
1534894,30699,-7.790589782107873,0,1.5581179564215748,0,True
1534944,30700,-9.853933174750729,0,1.5707866349501456,2,True
1534994,30701,-9.739227988849798,0,1.5478455977699594,2,True
1535044,30702,-11.72757610716623,0,1.545515221433246,4,True
1535094,30703,-7.728737720568643,0,1.5457475441137278,0,True
1535144,30704,-7.74452005119442,0,1.5489040102388838,0,True
1535194,30705,-7.705396083141124,0,1.5410792166282246,0,True
1535244,30706,-7.726581912638635,0,1.545316382527727,0,True
1535294,30707,-8.778644389296948,0,1.5557288778593894,1,True
1535344,30708,-8.731750394455924,0,1.546350078891185,1,True
1535394,30709,-9.77456807946725,0,1.5549136158934496,2,True
1535444,30710,-8.72121377023221,0,1.5442427540464418,1,True
1535494,30711,-8.884084875026051,0,1.5768169750052101,1,True
1535544,30712,-7.797899002200948,0,1.5595798004401897,0,True
1535594,30713,-8.71077174056818,0,1.5421543481136366,1,True
1535644,30714,-12.765561978532654,0,1.5531123957065303,5,True
1535694,30715,-7.879815776898938,0,1.5759631553797875,0,True
1535744,30716,-8.740495536008705,0,1.5480991072017403,1,True
1535794,30717,-8.723839212905688,0,1.5447678425811378,1,True
1535844,30718,-7.779668323576837,0,1.5559336647153672,0,True
1535894,30719,-8.776505712430417,0,1.555301142486084,1,True
1535944,30720,-7.72198038536385,0,1.5443960770727698,0,True
1535994,30721,-9.884772779971387,0,1.5769545559942764,2,True
1536044,30722,-10.830735868292427,0,1.5661471736584849,3,True
1536094,30723,-11.694692283737377,0,1.5389384567474753,4,True
1536144,30724,-7.6945635007383855,0,1.5389127001476766,0,True
1536194,30725,-10.774981232138307,0,1.5549962464276614,3,True
