timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
164005,561,4,4,True
164305,562,2,2,True
164605,563,2,2,True
164905,564,3,3,True
165205,565,4,4,True
165505,566,2,2,True
165805,567,3,3,True
166046,568,5,5,False
166346,569,3,3,True
166558,570,5,5,False
166858,571,1,1,True
167158,572,4,4,True
167458,573,0,0,True
167758,574,4,4,True
168058,575,3,3,True
168358,576,0,0,True
168658,577,2,2,True
168958,578,0,0,True
169258,579,2,2,True
169558,580,3,3,True
169858,581,2,2,True
170158,582,4,4,True
170458,583,3,3,True
170758,584,1,1,True
171058,585,4,4,True
171358,586,4,4,True
171658,587,2,2,True
171958,588,2,2,True
172258,589,1,1,True
172558,590,3,3,True
172858,591,1,1,True
173158,592,3,3,True
173458,593,2,2,True
173758,594,3,3,True
174058,595,1,1,True
174358,596,2,2,True
174658,597,4,4,True
174958,598,1,1,True
175258,599,4,4,True
175558,600,0,0,True
175858,601,4,4,True
176158,602,1,1,True
176458,603,2,2,True
176758,604,3,3,True
177058,605,4,4,True
177358,606,3,3,True
177495,607,5,5,False
177795,608,0,0,True
178095,609,1,1,True
178395,610,2,2,True
178695,611,4,4,True
178995,612,3,3,True
179295,613,2,2,True
179595,614,2,2,True
179865,615,5,5,False
180165,616,2,2,True
180465,617,2,2,True
180765,618,1,1,True
181065,619,1,1,True
181365,620,4,4,True
181556,621,5,5,False
181856,622,1,1,True
182156,623,4,4,True
182364,624,5,5,False
182664,625,2,2,True
182964,626,4,4,True
183264,627,4,4,True
183564,628,2,2,True
183864,629,3,3,True
184043,630,5,5,False
184343,631,1,1,True
184643,632,1,1,True
184943,633,1,1,True
185243,634,0,0,True
185543,635,4,4,True
185843,636,3,3,True
186143,637,3,3,True
186443,638,2,2,True
186593,639,5,5,False
186893,640,0,0,True
187128,641,5,5,False
187428,642,1,1,True
187556,643,5,5,False
187856,644,2,2,True
188156,645,2,2,True
188456,646,0,0,True
188756,647,0,0,True
189056,648,2,2,True
189356,649,0,0,True
189625,650,5,5,False
189735,651,5,5,False
189871,652,5,5,False
190167,653,5,5,False
190467,654,2,2,True
190767,655,0,0,True
191067,656,1,1,True
191367,657,3,3,True
191585,658,5,5,False
191885,659,4,4,True
192185,660,0,0,True
192485,661,1,1,True
192785,662,3,3,True
193085,663,2,2,True
193385,664,1,1,True
193685,665,1,1,True
193985,666,2,2,True
194111,667,5,5,False
194411,668,1,1,True
194711,669,4,4,True
195011,670,4,4,True
195311,671,3,3,True
195611,672,2,2,True
195911,673,3,3,True
196211,674,1,1,True
196511,675,4,4,True
196811,676,4,4,True
197111,677,4,4,True
197411,678,1,1,True
197711,679,2,2,True
