timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
35700,102,-123.7506654242886,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.7464380774898371,1,-7.68012107784737e-05,0.009232486843717472,True
36050,103,-125.63177199099499,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7447395998713568,2,-0.00010361508084471992,0.01851728430686127,True
36400,104,-119.85037742510193,[0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6407196775014556,3,-0.00010696233523199075,-0.0008416031268287762,True
36750,105,-119.13983005324819,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.673426143617831,1,-0.00024675532291850414,-0.004207275890227293,True
37100,106,-133.0925499011971,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8156078557313868,3,-0.00022599955686715019,-0.004735338127730361,True
37450,107,-117.04019344953588,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6434313349933696,1,-0.00034847168289359274,0.003934941340872933,True
37800,108,-127.59404460341705,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1.7156292086202438,4,-0.0005014200507873654,-0.006569550166230848,True
38150,109,-117.78360791504383,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6826229702149116,0,-0.0004373126217794962,-0.006055961587097982,True
38500,110,-121.60176572435422,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6800252246336318,2,-0.000489311488022005,0.0005178993376646215,True
38850,111,-127.7713663358525,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7395909476550355,3,-0.00047106019720272055,0.007426080637490988,True
